START DATE | TIME,MAIN LATERAL,CFS,ORDER #,STATUS,DISTRICT,LINE / HEAD
45153.0625,"T16-T5 (METER), T16-T6 (METER), T16-T7 (METER), ",26.00,8631,OPEN,WEST - District,T HEAD 1
45153.8125,"T-T42 (METER), , , ",17.00,8495,0,WEST - District,T HEAD 1
45154.3125,"T18-C4 (METER), , , ",18.00,8365,0,WEST - District,T HEAD 1
45154.35417,"T18-T5, T18-T6A, , ",18.00,8158,0,WEST - District,T HEAD 1
45154.5625,"T18-T4 (METER), , , ",18.00,8172,0,WEST - District,T HEAD 1
45154.6875,"T18-C4 (METER), , , ",17.00,8403,0,WEST - District,T HEAD 1
45154.85417,"T-T62 (METER), , , ",18.00,8369,0,WEST - District,T HEAD 1
45155.10417,"T18-T1 (METER), , , ",4.00,8536,0,WEST - District,T HEAD 1
45155.10417,"T-T59 (METER), , , ",18.00,8591,0,WEST - District,T HEAD 1
45155.64583,"T-T60 (METER), , , ",18.00,8592,0,WEST - District,T HEAD 1
45156.08333,"T-T66 (METER), , , ",18.00,8594,0,WEST - District,T HEAD 1
45156.375,"T-T67 (METER), , , ",18.00,8593,0,WEST - District,T HEAD 1
45156.72917,"T-T70 (METER), , , ",18.00,8595,0,WEST - District,T HEAD 1
45157.0625,"T-T62 (METER), , , ",16.00,8796,0,WEST - District,T HEAD 1
45157.0625,"T-T45 (METER), , , ",12.00,8621,0,WEST - District,T HEAD 1
45157.0625,"T17-T1 (METER), , , ",12.00,6901,0,WEST - District,T HEAD 1
45157.72917,"T-T39, , , ",18.00,8719,0,WEST - District,T HEAD 1
45157.89583,"T-T43 (METER), , , ",10.00,8756,0,WEST - District,T HEAD 1
45158.10417,"T-T43 (METER), , , ",10.00,8763,0,WEST - District,T HEAD 1
45158.11458,"T-T43 (METER), , , ",10.00,8765,0,WEST - District,T HEAD 1
45158.16667,"T-T56 (METER), , , ",26.00,8729,0,WEST - District,T HEAD 1
45158.35417,"T-T67 (METER), , , ",18.00,8743,0,WEST - District,T HEAD 1
45158.52083,"T-T68 (METER), , , ",18.00,8738,0,WEST - District,T HEAD 1
45158.66667,"T-T69 (METER), , , ",18.00,8739,0,WEST - District,T HEAD 1
45158.70833,"T-T71 (METER), , , ",18.00,8740,0,WEST - District,T HEAD 1
45158.77083,"T-T73 (METER), , , ",18.00,8741,0,WEST - District,T HEAD 1
45158.97917,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
0,0,0.00,0,0,WEST - District,T HEAD 1
45153.00069,"T-T5 (METER), , , ",22.00,8391,OPEN,WEST - District,T HEAD 2
45154.16736,0,0.00,0,0,WEST - District,T HEAD 2
45154.25,"N1-T1, N1-T2, , ",19.00,8400,0,WEST - District,T HEAD 2
45154.58333,"N1-T3, , , ",19.00,8401,0,WEST - District,T HEAD 2
45154.66667,"N1-C3, , , ",19.00,8402,0,WEST - District,T HEAD 2
45155.70833,0,0.00,0,0,WEST - District,T HEAD 2
45155.70833,"T1-T1, T1-T2, , ",15.00,8588,0,WEST - District,T HEAD 2
45156.04167,"T2-T2, , , ",23.00,8755,0,WEST - District,T HEAD 2
45156.89583,"T6-T6 (METER), T6-T7 (METER), T6-T8 (METER), ",25.00,8751,0,WEST - District,T HEAD 2
45157.97917,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
0,0,0.00,0,0,WEST - District,T HEAD 2
45153.3125,"T13-T2, , , ",12.00,8484,OPEN,WEST - District,T HEAD 3
45153.58333,"T9-T3, , , ",18.00,8326,0,WEST - District,T HEAD 3
45153.83333,"T9-T3, , , ",15.00,8325,0,WEST - District,T HEAD 3
45154.10417,"T7-1-T3 (METER), , , ",20.00,8327,0,WEST - District,T HEAD 3
45154.375,"T7-T7 (METER), , , ",24.00,8696,0,WEST - District,T HEAD 3
45154.5625,"T-T15 (METER), , , ",10.00,8764,0,WEST - District,T HEAD 3
45154.66667,"T-T19, , , ",14.00,8447,0,WEST - District,T HEAD 3
45154.95833,"T11-T3, , , ",5.00,8444,0,WEST - District,T HEAD 3
45154.95833,"T11-T5, , , ",20.00,8448,0,WEST - District,T HEAD 3
45155.33333,"T15-T3 (METER), T15-T4 (METER), T15-T5 (METER), ",30.00,8608,0,WEST - District,T HEAD 3
45155.70833,"T10-T1, , , ",20.00,8684,0,WEST - District,T HEAD 3
45155.9375,"T9-T2, , , ",22.00,8665,0,WEST - District,T HEAD 3
45156.5625,"T8-T1, , , ",22.00,8667,0,WEST - District,T HEAD 3
45157.20833,"T8-T4, T8-T5, T8-T6, ",16.00,8787,0,WEST - District,T HEAD 3
45157.41694,"T9-T5, , , ",12.50,8783,0,WEST - District,T HEAD 3
45157.58361,"T7-T2 (METER), , , ",24.00,8454,0,WEST - District,T HEAD 3
45157.66694,"T7-T2 (METER), , , ",24.00,8449,0,WEST - District,T HEAD 3
45157.77111,"T7-T6 (METER), , , ",32.00,8724,0,WEST - District,T HEAD 3
45157.95861,"T7-1-T3 (METER), , , ",30.00,8725,0,WEST - District,T HEAD 3
45158.06278,"T7-T1, , , ",21.00,8844,0,WEST - District,T HEAD 3
45158.66694,"T7-T2 (METER), , , ",24.00,8654,0,WEST - District,T HEAD 3
45159.08361,0,0.00,0,0,WEST - District,T HEAD 3
0,0,0.00,0,0,WEST - District,T HEAD 3
0,0,0.00,0,0,WEST - District,T HEAD 3
